,feature,file,folder
0,AIALANG,DEMO,Demographics
1,DMDBORN,DEMO,Demographics
4,DMDEDUC3,DEMO,Demographics
8,DMDHRBRN,DEMO,Demographics
14,DMDSCHOL,DEMO,Demographics
15,DMDYRSUS,DEMO,Demographics
20,INDFMINC,DEMO,Demographics
22,INDHHINC,DEMO,Demographics
31,RIDEXPRG,DEMO,Demographics
42,DMDBORN2,DEMO,Demographics
43,DMDHRBR2,DEMO,Demographics
46,DMDEDUC,DEMO,Demographics
47,RIDRETH2,DEMO,Demographics
48,RIDPREG,DEMO,Demographics
49,WTINT4YR,DEMO,Demographics
50,WTMEC4YR,DEMO,Demographics
51,DMAETHN,DEMO,Demographics
52,DMARACE,DEMO,Demographics
53,SDJ1REPN,DEMO,Demographics
54,WTIREP01,DEMO,Demographics
55,WTIREP02,DEMO,Demographics
56,WTIREP03,DEMO,Demographics
57,WTIREP04,DEMO,Demographics
58,WTIREP05,DEMO,Demographics
59,WTIREP06,DEMO,Demographics
60,WTIREP07,DEMO,Demographics
61,WTIREP08,DEMO,Demographics
62,WTIREP09,DEMO,Demographics
63,WTIREP10,DEMO,Demographics
64,WTIREP11,DEMO,Demographics
65,WTIREP12,DEMO,Demographics
66,WTIREP13,DEMO,Demographics
67,WTIREP14,DEMO,Demographics
68,WTIREP15,DEMO,Demographics
69,WTIREP16,DEMO,Demographics
70,WTIREP17,DEMO,Demographics
71,WTIREP18,DEMO,Demographics
72,WTIREP19,DEMO,Demographics
73,WTIREP20,DEMO,Demographics
74,WTIREP21,DEMO,Demographics
75,WTIREP22,DEMO,Demographics
76,WTIREP23,DEMO,Demographics
77,WTIREP24,DEMO,Demographics
78,WTIREP25,DEMO,Demographics
79,WTIREP26,DEMO,Demographics
80,WTIREP27,DEMO,Demographics
81,WTIREP28,DEMO,Demographics
82,WTIREP29,DEMO,Demographics
83,WTIREP30,DEMO,Demographics
84,WTIREP31,DEMO,Demographics
85,WTIREP32,DEMO,Demographics
86,WTIREP33,DEMO,Demographics
87,WTIREP34,DEMO,Demographics
88,WTIREP35,DEMO,Demographics
89,WTIREP36,DEMO,Demographics
90,WTIREP37,DEMO,Demographics
91,WTIREP38,DEMO,Demographics
92,WTIREP39,DEMO,Demographics
93,WTIREP40,DEMO,Demographics
94,WTIREP41,DEMO,Demographics
95,WTIREP42,DEMO,Demographics
96,WTIREP43,DEMO,Demographics
97,WTIREP44,DEMO,Demographics
98,WTIREP45,DEMO,Demographics
99,WTIREP46,DEMO,Demographics
100,WTIREP47,DEMO,Demographics
101,WTIREP48,DEMO,Demographics
102,WTIREP49,DEMO,Demographics
103,WTIREP50,DEMO,Demographics
104,WTIREP51,DEMO,Demographics
105,WTIREP52,DEMO,Demographics
106,WTMREP01,DEMO,Demographics
107,WTMREP02,DEMO,Demographics
108,WTMREP03,DEMO,Demographics
109,WTMREP04,DEMO,Demographics
110,WTMREP05,DEMO,Demographics
111,WTMREP06,DEMO,Demographics
112,WTMREP07,DEMO,Demographics
113,WTMREP08,DEMO,Demographics
114,WTMREP09,DEMO,Demographics
115,WTMREP10,DEMO,Demographics
116,WTMREP11,DEMO,Demographics
117,WTMREP12,DEMO,Demographics
118,WTMREP13,DEMO,Demographics
119,WTMREP14,DEMO,Demographics
120,WTMREP15,DEMO,Demographics
121,WTMREP16,DEMO,Demographics
122,WTMREP17,DEMO,Demographics
123,WTMREP18,DEMO,Demographics
124,WTMREP19,DEMO,Demographics
125,WTMREP20,DEMO,Demographics
126,WTMREP21,DEMO,Demographics
127,WTMREP22,DEMO,Demographics
128,WTMREP23,DEMO,Demographics
129,WTMREP24,DEMO,Demographics
130,WTMREP25,DEMO,Demographics
131,WTMREP26,DEMO,Demographics
132,WTMREP27,DEMO,Demographics
133,WTMREP28,DEMO,Demographics
134,WTMREP29,DEMO,Demographics
135,WTMREP30,DEMO,Demographics
136,WTMREP31,DEMO,Demographics
137,WTMREP32,DEMO,Demographics
138,WTMREP33,DEMO,Demographics
139,WTMREP34,DEMO,Demographics
140,WTMREP35,DEMO,Demographics
141,WTMREP36,DEMO,Demographics
142,WTMREP37,DEMO,Demographics
143,WTMREP38,DEMO,Demographics
144,WTMREP39,DEMO,Demographics
145,WTMREP40,DEMO,Demographics
146,WTMREP41,DEMO,Demographics
147,WTMREP42,DEMO,Demographics
148,WTMREP43,DEMO,Demographics
149,WTMREP44,DEMO,Demographics
150,WTMREP45,DEMO,Demographics
151,WTMREP46,DEMO,Demographics
152,WTMREP47,DEMO,Demographics
153,WTMREP48,DEMO,Demographics
154,WTMREP49,DEMO,Demographics
155,WTMREP50,DEMO,Demographics
156,WTMREP51,DEMO,Demographics
157,WTMREP52,DEMO,Demographics
158,AIALANGA,DEMO,Demographics
159,DMDBORN4,DEMO,Demographics
160,DMDHHSZA,DEMO,Demographics
161,DMDHHSZB,DEMO,Demographics
162,DMDHHSZE,DEMO,Demographics
163,DMDHRBR4,DEMO,Demographics
164,DMQADFC,DEMO,Demographics
165,DMQMILIZ,DEMO,Demographics
166,RIDEXAGM,DEMO,Demographics
167,RIDEXAGY,DEMO,Demographics
168,RIDRETH3,DEMO,Demographics
238,DRALANG,DRXTOT,Dietary
239,DRARESP,DRXTOT,Dietary
240,DRASCST2,DRXTOT,Dietary
241,DRD320GW,DRXTOT,Dietary
242,DRD330GW,DRXTOT,Dietary
243,DRD350A,DRXTOT,Dietary
244,DRD350B,DRXTOT,Dietary
245,DRD350C,DRXTOT,Dietary
246,DRD350D,DRXTOT,Dietary
247,DRD350E,DRXTOT,Dietary
248,DRD350F,DRXTOT,Dietary
249,DRD350G,DRXTOT,Dietary
250,DRD350H,DRXTOT,Dietary
251,DRD350I,DRXTOT,Dietary
252,DRD350J,DRXTOT,Dietary
253,DRD350K,DRXTOT,Dietary
254,DRD370A,DRXTOT,Dietary
255,DRD370B,DRXTOT,Dietary
256,DRD370C,DRXTOT,Dietary
257,DRD370D,DRXTOT,Dietary
258,DRD370E,DRXTOT,Dietary
259,DRD370F,DRXTOT,Dietary
260,DRD370G,DRXTOT,Dietary
261,DRD370H,DRXTOT,Dietary
262,DRD370I,DRXTOT,Dietary
263,DRD370J,DRXTOT,Dietary
264,DRD370K,DRXTOT,Dietary
265,DRD370L,DRXTOT,Dietary
266,DRD370M,DRXTOT,Dietary
267,DRD370N,DRXTOT,Dietary
268,DRD370O,DRXTOT,Dietary
269,DRD370P,DRXTOT,Dietary
270,DRD370Q,DRXTOT,Dietary
271,DRD370R,DRXTOT,Dietary
272,DRD370S,DRXTOT,Dietary
273,DRD370T,DRXTOT,Dietary
274,DRD370U,DRXTOT,Dietary
275,DRD370V,DRXTOT,Dietary
276,DRDAINMD,DRXTOT,Dietary
277,DRDDAY,DRXTOT,Dietary
278,DRDDRSTS,DRXTOT,Dietary
279,DRDEXMER,DRXTOT,Dietary
280,DRDINTMD,DRXTOT,Dietary
281,DRDTSODF,DRXTOT,Dietary
282,DRDTSODI,DRXTOT,Dietary
283,DRQ300,DRXTOT,Dietary
284,DRQ340,DRXTOT,Dietary
285,DRQ350AQ,DRXTOT,Dietary
286,DRQ350BQ,DRXTOT,Dietary
287,DRQ350CQ,DRXTOT,Dietary
288,DRQ350DQ,DRXTOT,Dietary
289,DRQ350EQ,DRXTOT,Dietary
290,DRQ350FQ,DRXTOT,Dietary
291,DRQ350GQ,DRXTOT,Dietary
292,DRQ350HQ,DRXTOT,Dietary
293,DRQ350IQ,DRXTOT,Dietary
294,DRQ350JQ,DRXTOT,Dietary
295,DRQ360,DRXTOT,Dietary
296,DRQ370AQ,DRXTOT,Dietary
297,DRQ370BQ,DRXTOT,Dietary
298,DRQ370CQ,DRXTOT,Dietary
299,DRQ370DQ,DRXTOT,Dietary
300,DRQ370EQ,DRXTOT,Dietary
301,DRQ370FQ,DRXTOT,Dietary
302,DRQ370GQ,DRXTOT,Dietary
303,DRQ370HQ,DRXTOT,Dietary
304,DRQ370IQ,DRXTOT,Dietary
305,DRQ370JQ,DRXTOT,Dietary
306,DRQ370KQ,DRXTOT,Dietary
307,DRQ370LQ,DRXTOT,Dietary
308,DRQ370MQ,DRXTOT,Dietary
309,DRQ370NQ,DRXTOT,Dietary
310,DRQ370OQ,DRXTOT,Dietary
311,DRQ370PQ,DRXTOT,Dietary
312,DRQ370QQ,DRXTOT,Dietary
313,DRQ370RQ,DRXTOT,Dietary
314,DRQ370SQ,DRXTOT,Dietary
315,DRQ370TQ,DRXTOT,Dietary
316,DRQ370UQ,DRXTOT,Dietary
317,DRXTALCO,DRXTOT,Dietary
318,DRXTCAFF,DRXTOT,Dietary
319,DRXTCALC,DRXTOT,Dietary
320,DRXTCARB,DRXTOT,Dietary
321,DRXTCARO,DRXTOT,Dietary
322,DRXTCHOL,DRXTOT,Dietary
323,DRXTCOPP,DRXTOT,Dietary
324,DRXTFIBE,DRXTOT,Dietary
325,DRXTFOLA,DRXTOT,Dietary
326,DRXTIRON,DRXTOT,Dietary
327,DRXTKCAL,DRXTOT,Dietary
328,DRXTM161,DRXTOT,Dietary
329,DRXTM181,DRXTOT,Dietary
330,DRXTM201,DRXTOT,Dietary
331,DRXTM221,DRXTOT,Dietary
332,DRXTMAGN,DRXTOT,Dietary
333,DRXTMFAT,DRXTOT,Dietary
334,DRXTNIAC,DRXTOT,Dietary
335,DRXTP182,DRXTOT,Dietary
336,DRXTP183,DRXTOT,Dietary
337,DRXTP184,DRXTOT,Dietary
338,DRXTP204,DRXTOT,Dietary
339,DRXTP205,DRXTOT,Dietary
340,DRXTP225,DRXTOT,Dietary
341,DRXTP226,DRXTOT,Dietary
342,DRXTPFAT,DRXTOT,Dietary
343,DRXTPHOS,DRXTOT,Dietary
344,DRXTPOTA,DRXTOT,Dietary
345,DRXTPROT,DRXTOT,Dietary
346,DRXTS040,DRXTOT,Dietary
347,DRXTS060,DRXTOT,Dietary
348,DRXTS080,DRXTOT,Dietary
349,DRXTS100,DRXTOT,Dietary
350,DRXTS120,DRXTOT,Dietary
351,DRXTS140,DRXTOT,Dietary
352,DRXTS160,DRXTOT,Dietary
353,DRXTS180,DRXTOT,Dietary
354,DRXTSELE,DRXTOT,Dietary
355,DRXTSFAT,DRXTOT,Dietary
356,DRXTTFAT,DRXTOT,Dietary
357,DRXTTHEO,DRXTOT,Dietary
358,DRXTVAIU,DRXTOT,Dietary
359,DRXTVARE,DRXTOT,Dietary
360,DRXTVB1,DRXTOT,Dietary
361,DRXTVB12,DRXTOT,Dietary
362,DRXTVB2,DRXTOT,Dietary
363,DRXTVB6,DRXTOT,Dietary
364,DRXTVC,DRXTOT,Dietary
365,DRXTVE,DRXTOT,Dietary
366,DRXTWATE,DRXTOT,Dietary
367,DRXTZINC,DRXTOT,Dietary
368,WTDR4YR,DRXTOT,Dietary
369,WTDRD1,DRXTOT,Dietary
370,DSD010,DSQFILE1,Dietary
371,DSDCOUNT,DSQFILE1,Dietary
372,DBD100,DRXTOT,Dietary
373,DBQ095,DRXTOT,Dietary
374,DRD300,DRXTOT,Dietary
375,DRD340,DRXTOT,Dietary
376,DRD350AQ,DRXTOT,Dietary
377,DRD350BQ,DRXTOT,Dietary
378,DRD350CQ,DRXTOT,Dietary
379,DRD350DQ,DRXTOT,Dietary
380,DRD350EQ,DRXTOT,Dietary
381,DRD350FQ,DRXTOT,Dietary
382,DRD350GQ,DRXTOT,Dietary
383,DRD350HQ,DRXTOT,Dietary
384,DRD350IQ,DRXTOT,Dietary
