,feature,file,folder
2,DMDCITZN,DEMO,Demographics
3,DMDEDUC2,DEMO,Demographics
5,DMDFMSIZ,DEMO,Demographics
6,DMDHHSIZ,DEMO,Demographics
7,DMDHRAGE,DEMO,Demographics
9,DMDHREDU,DEMO,Demographics
10,DMDHRGND,DEMO,Demographics
11,DMDHRMAR,DEMO,Demographics
12,DMDHSEDU,DEMO,Demographics
13,DMDMARTL,DEMO,Demographics
16,DMQMILIT,DEMO,Demographics
17,FIAINTRP,DEMO,Demographics
18,FIALANG,DEMO,Demographics
19,FIAPROXY,DEMO,Demographics
21,INDFMPIR,DEMO,Demographics
23,MIAINTRP,DEMO,Demographics
24,MIALANG,DEMO,Demographics
25,MIAPROXY,DEMO,Demographics
26,RIAGENDR,DEMO,Demographics
27,RIDAGEEX,DEMO,Demographics
28,RIDAGEMN,DEMO,Demographics
29,RIDAGEYR,DEMO,Demographics
30,RIDEXMON,DEMO,Demographics
32,RIDRETH1,DEMO,Demographics
33,RIDSTATR,DEMO,Demographics
34,SDDSRVYR,DEMO,Demographics
35,SDMVPSU,DEMO,Demographics
36,SDMVSTRA,DEMO,Demographics
37,SIAINTRP,DEMO,Demographics
38,SIALANG,DEMO,Demographics
39,SIAPROXY,DEMO,Demographics
40,WTINT2YR,DEMO,Demographics
41,WTMEC2YR,DEMO,Demographics
44,INDFMIN2,DEMO,Demographics
45,INDHHIN2,DEMO,Demographics
686,DBQ095Z,DR1TOT,Dietary
687,DR1_300,DR1TOT,Dietary
692,DR1DAY,DR1TOT,Dietary
693,DR1DRSTZ,DR1TOT,Dietary
694,DR1EXMER,DR1TOT,Dietary
695,DR1HELPD,DR1TOT,Dietary
696,DR1LANG,DR1TOT,Dietary
697,DR1MNRSP,DR1TOT,Dietary
698,DR1TACAR,DR1TOT,Dietary
699,DR1TALCO,DR1TOT,Dietary
700,DR1TATOA,DR1TOT,Dietary
701,DR1TATOC,DR1TOT,Dietary
702,DR1TB12A,DR1TOT,Dietary
703,DR1TBCAR,DR1TOT,Dietary
704,DR1TCAFF,DR1TOT,Dietary
705,DR1TCALC,DR1TOT,Dietary
706,DR1TCARB,DR1TOT,Dietary
707,DR1TCHOL,DR1TOT,Dietary
708,DR1TCOPP,DR1TOT,Dietary
709,DR1TCRYP,DR1TOT,Dietary
710,DR1TFA,DR1TOT,Dietary
711,DR1TFDFE,DR1TOT,Dietary
712,DR1TFF,DR1TOT,Dietary
713,DR1TFIBE,DR1TOT,Dietary
714,DR1TFOLA,DR1TOT,Dietary
715,DR1TIRON,DR1TOT,Dietary
716,DR1TKCAL,DR1TOT,Dietary
717,DR1TLYCO,DR1TOT,Dietary
718,DR1TLZ,DR1TOT,Dietary
719,DR1TM161,DR1TOT,Dietary
720,DR1TM181,DR1TOT,Dietary
721,DR1TM201,DR1TOT,Dietary
722,DR1TM221,DR1TOT,Dietary
723,DR1TMAGN,DR1TOT,Dietary
724,DR1TMFAT,DR1TOT,Dietary
725,DR1TMOIS,DR1TOT,Dietary
726,DR1TNIAC,DR1TOT,Dietary
727,DR1TNUMF,DR1TOT,Dietary
728,DR1TP182,DR1TOT,Dietary
729,DR1TP183,DR1TOT,Dietary
730,DR1TP184,DR1TOT,Dietary
731,DR1TP204,DR1TOT,Dietary
732,DR1TP205,DR1TOT,Dietary
733,DR1TP225,DR1TOT,Dietary
734,DR1TP226,DR1TOT,Dietary
735,DR1TPFAT,DR1TOT,Dietary
736,DR1TPHOS,DR1TOT,Dietary
